RecordType,Category,Amount,EmployeeRole,Shift,ContractType,Campaign,Service,ProjectedExpense,ActualExpense,CustomerType,FoodSegment,VisitDateTime
Fixed Cost,Insurance,3113.46,,,,,,,,Regular,Irish,10/15/2024
Variable Cost,Marketing Campaign,5017.76,,,,,,,,Seldom,Irish,03-08-2025
Projected vs Actual,Expense Monitoring,,,,,,,4123.51,3249.88,First-timer,Snacks,9/22/2024
Variable Cost,Marketing Campaign,9838.98,,,,,,,,Tourist,Continental,06-05-2024
Fixed Cost,Utilities,3367.86,,,,,,,,Seldom,Irish,9/20/2024
Projected vs Actual,Expense Monitoring,,,,,,,4866.78,4466.53,Tourist,Snacks,10-10-2024
Employee Salary,Payroll,4435.73,Server,Morning,Part-time,,,,,Regular,Wine,5/18/2024
Projected vs Actual,Expense Monitoring,,,,,,,6472.93,6663.76,Seldom,Wine,6/15/2024
Variable Cost,Marketing Campaign,4168.33,,,,,,,,First-timer,Irish,4/20/2024
Variable Cost,Inventory Purchase,6337.18,,,,,,,,Tourist,Irish,01-10-2025
Variable Cost,Marketing Campaign,1528.69,,,,,,,,Regular,Snacks,02-04-2025
Marketing Spend,Advertising,4577.29,,,,Summer Happy Hour,,,,Regular,Irish,06-05-2024
Tech Fee,Tech Services,252.35,,,,,CRM Platform,,,Seldom,Wine,4/29/2024
Employee Salary,Payroll,1650.04,Cleaner,Evening,Part-time,,,,,Regular,Continental,8/28/2024
Fixed Cost,Insurance,4332.12,,,,,,,,Seldom,Wine,2/26/2025
Fixed Cost,Insurance,2330.48,,,,,,,,Tourist,Continental,1/30/2025
Employee Salary,Payroll,2821.58,Bartender,Evening,Contract,,,,,Tourist,Irish,12/22/2024
Variable Cost,Marketing Campaign,7530.39,,,,,,,,Seldom,Irish,06-07-2024
Marketing Spend,Advertising,1189.52,,,,Spring Promo,,,,First-timer,Snacks,1/21/2025
Tech Fee,Tech Services,171.14,,,,,CRM Platform,,,Regular,Irish,04-08-2024
Variable Cost,Marketing Campaign,2186.55,,,,,,,,Regular,Continental,3/30/2024
Tech Fee,Tech Services,332.61,,,,,Website Hosting,,,Regular,Irish,02-09-2025
Tech Fee,Tech Services,237.03,,,,,CRM Platform,,,Seldom,Continental,12-05-2024
Projected vs Actual,Expense Monitoring,,,,,,,6041.98,5100.32,First-timer,Snacks,5/28/2024
Employee Salary,Payroll,1817.03,Chef,Night,Part-time,,,,,Tourist,Irish,7/30/2024
Projected vs Actual,Expense Monitoring,,,,,,,7337.96,7742.13,First-timer,Irish,12/20/2024
Fixed Cost,Utilities,2486.77,,,,,,,,Seldom,Continental,2/28/2025
Fixed Cost,Utilities,1809.5,,,,,,,,Seldom,Snacks,11-03-2024
Projected vs Actual,Expense Monitoring,,,,,,,6506.14,6408.400000000001,Regular,Wine,05-06-2024
Variable Cost,Inventory Purchase,7221.08,,,,,,,,First-timer,Snacks,03-11-2024
Marketing Spend,Advertising,755.42,,,,Summer Happy Hour,,,,Seldom,Continental,6/28/2024
Projected vs Actual,Expense Monitoring,,,,,,,2343.64,3173.32,Regular,Continental,03-06-2025
Projected vs Actual,Expense Monitoring,,,,,,,3974.0,3947.66,Regular,Irish,02-05-2025
Marketing Spend,Advertising,4532.18,,,,Christmas Special,,,,First-timer,Irish,7/27/2024
Employee Salary,Payroll,2834.82,Server,Morning,Full-time,,,,,Regular,Wine,11/21/2024
Variable Cost,Inventory Purchase,3093.72,,,,,,,,Regular,Snacks,02-09-2025
Fixed Cost,Insurance,2607.35,,,,,,,,First-timer,Continental,1/30/2025
Fixed Cost,Rent,4701.11,,,,,,,,Regular,Wine,6/23/2024
Variable Cost,Marketing Campaign,1339.78,,,,,,,,Seldom,Irish,11/15/2024
Employee Salary,Payroll,2435.02,Server,Night,Part-time,,,,,Seldom,Irish,4/25/2024
Fixed Cost,Insurance,992.67,,,,,,,,Regular,Continental,8/28/2024
Fixed Cost,Rent,4840.2,,,,,,,,Seldom,Snacks,12-06-2024
Fixed Cost,Utilities,2658.31,,,,,,,,Regular,Irish,10-09-2024
Fixed Cost,Insurance,521.91,,,,,,,,Regular,Irish,6/26/2024
Tech Fee,Tech Services,95.21,,,,,Website Hosting,,,Seldom,Continental,06-01-2024
Fixed Cost,Utilities,611.01,,,,,,,,Seldom,Irish,7/16/2024
Employee Salary,Payroll,4202.14,Manager,Night,Contract,,,,,First-timer,Snacks,8/31/2024
Tech Fee,Tech Services,335.87,,,,,CRM Platform,,,First-timer,Continental,3/18/2024
Marketing Spend,Advertising,1793.41,,,,Christmas Special,,,,Regular,Irish,10-04-2024
Employee Salary,Payroll,2354.03,Server,Morning,Contract,,,,,Seldom,Continental,03-04-2025
Variable Cost,Marketing Campaign,8595.58,,,,,,,,First-timer,Irish,12/22/2024
Variable Cost,Inventory Purchase,1680.7,,,,,,,,Regular,Wine,02-10-2025
Projected vs Actual,Expense Monitoring,,,,,,,6065.17,5128.2,Tourist,Irish,02-09-2025
Tech Fee,Tech Services,334.89,,,,,CRM Platform,,,Tourist,Continental,05-09-2024
Variable Cost,Inventory Purchase,6275.06,,,,,,,,First-timer,Irish,7/16/2024
Tech Fee,Tech Services,102.09,,,,,CRM Platform,,,Seldom,Snacks,5/26/2024
Employee Salary,Payroll,3080.93,Server,Night,Part-time,,,,,First-timer,Snacks,3/14/2024
Marketing Spend,Advertising,748.55,,,,New Menu Launch,,,,Regular,Snacks,7/18/2024
Fixed Cost,Insurance,3601.32,,,,,,,,Tourist,Continental,09-03-2024
Variable Cost,Marketing Campaign,2234.54,,,,,,,,Regular,Irish,6/24/2024
Marketing Spend,Advertising,1566.2,,,,Summer Happy Hour,,,,Seldom,Wine,11/23/2024
Projected vs Actual,Expense Monitoring,,,,,,,7761.57,7057.27,Regular,Continental,06-09-2024
Tech Fee,Tech Services,132.3,,,,,CRM Platform,,,Regular,Irish,02-10-2025
Employee Salary,Payroll,3303.17,Chef,Evening,Contract,,,,,Tourist,Wine,1/31/2025
Projected vs Actual,Expense Monitoring,,,,,,,3497.44,4463.16,Tourist,Continental,4/17/2024
Marketing Spend,Advertising,3617.88,,,,Christmas Special,,,,Tourist,Continental,09-03-2024
Fixed Cost,Utilities,3656.14,,,,,,,,Regular,Snacks,12/22/2024
Employee Salary,Payroll,3397.43,Bartender,Evening,Contract,,,,,Seldom,Continental,12-01-2024
Variable Cost,Inventory Purchase,9537.83,,,,,,,,Seldom,Snacks,11-03-2024
Tech Fee,Tech Services,371.17,,,,,CRM Platform,,,First-timer,Irish,8/31/2024
Tech Fee,Tech Services,350.3,,,,,Website Hosting,,,Tourist,Irish,12/22/2024
Fixed Cost,Utilities,3944.95,,,,,,,,Regular,Continental,5/16/2024
Variable Cost,Marketing Campaign,3302.08,,,,,,,,Seldom,Continental,11-12-2024
Employee Salary,Payroll,4439.76,Chef,Morning,Contract,,,,,Tourist,Continental,05-07-2024
Employee Salary,Payroll,4849.35,Manager,Morning,Full-time,,,,,First-timer,Irish,07-07-2024
Marketing Spend,Advertising,695.71,,,,Summer Happy Hour,,,,Seldom,Irish,6/15/2024
Projected vs Actual,Expense Monitoring,,,,,,,2496.74,1559.4299999999998,Tourist,Wine,12-09-2024
Projected vs Actual,Expense Monitoring,,,,,,,6633.67,7591.56,Tourist,Continental,02-02-2025
Tech Fee,Tech Services,380.76,,,,,Website Hosting,,,Regular,Continental,8/22/2024
Fixed Cost,Utilities,3511.7,,,,,,,,Tourist,Continental,01-04-2025
Variable Cost,Marketing Campaign,4238.04,,,,,,,,First-timer,Continental,07-01-2024
Tech Fee,Tech Services,435.27,,,,,Website Hosting,,,Regular,Wine,11/19/2024
Projected vs Actual,Expense Monitoring,,,,,,,7381.59,7910.73,First-timer,Irish,4/16/2024
Marketing Spend,Advertising,892.86,,,,Spring Promo,,,,Seldom,Wine,01-03-2025
Variable Cost,Inventory Purchase,9612.21,,,,,,,,Regular,Irish,09-05-2024
Variable Cost,Inventory Purchase,2413.54,,,,,,,,Tourist,Wine,2/18/2025
Tech Fee,Tech Services,194.03,,,,,Website Hosting,,,Regular,Wine,3/19/2024
Variable Cost,Marketing Campaign,8042.27,,,,,,,,Regular,Snacks,6/16/2024
Variable Cost,Inventory Purchase,4237.05,,,,,,,,First-timer,Irish,2/19/2025
Tech Fee,Tech Services,180.11,,,,,Website Hosting,,,First-timer,Snacks,12/27/2024
Employee Salary,Payroll,4035.47,Server,Evening,Full-time,,,,,Regular,Wine,09-11-2024
Projected vs Actual,Expense Monitoring,,,,,,,4859.91,4017.77,First-timer,Snacks,9/18/2024
Tech Fee,Tech Services,263.54,,,,,CRM Platform,,,Seldom,Continental,03-04-2025
Employee Salary,Payroll,3117.07,Chef,Evening,Part-time,,,,,First-timer,Continental,9/22/2024
Projected vs Actual,Expense Monitoring,,,,,,,6861.52,6847.490000000001,Seldom,Wine,11/29/2024
Tech Fee,Tech Services,270.64,,,,,Website Hosting,,,First-timer,Irish,9/15/2024
Projected vs Actual,Expense Monitoring,,,,,,,915.75,1024.13,Seldom,Snacks,8/15/2024
Fixed Cost,Rent,4705.43,,,,,,,,Seldom,Continental,8/26/2024
Projected vs Actual,Expense Monitoring,,,,,,,4795.79,4272.46,Regular,Snacks,07-07-2024
Employee Salary,Payroll,1427.28,Cleaner,Evening,Full-time,,,,,First-timer,Continental,10-04-2024
Variable Cost,Marketing Campaign,9497.88,,,,,,,,Tourist,Wine,6/24/2024
Employee Salary,Payroll,2789.4,Server,Morning,Full-time,,,,,Tourist,Continental,8/15/2024
Fixed Cost,Insurance,1954.15,,,,,,,,Tourist,Irish,3/22/2024
Variable Cost,Marketing Campaign,5561.95,,,,,,,,Tourist,Irish,2/21/2025
Marketing Spend,Advertising,3241.66,,,,Christmas Special,,,,First-timer,Snacks,7/14/2024
Variable Cost,Inventory Purchase,3835.75,,,,,,,,Regular,Irish,2/22/2025
Fixed Cost,Rent,2738.82,,,,,,,,Seldom,Irish,10/20/2024
Employee Salary,Payroll,1306.49,Manager,Morning,Part-time,,,,,Seldom,Continental,08-06-2024
Tech Fee,Tech Services,156.9,,,,,CRM Platform,,,First-timer,Irish,4/14/2024
Marketing Spend,Advertising,2145.41,,,,Summer Happy Hour,,,,First-timer,Irish,02-01-2025
Fixed Cost,Rent,1422.41,,,,,,,,Regular,Irish,3/18/2024
Variable Cost,Inventory Purchase,617.56,,,,,,,,Regular,Wine,10-01-2024
Variable Cost,Inventory Purchase,2062.14,,,,,,,,Tourist,Continental,09-03-2024
Projected vs Actual,Expense Monitoring,,,,,,,1876.73,2518.57,Tourist,Wine,1/31/2025
Employee Salary,Payroll,3076.83,Cleaner,Evening,Full-time,,,,,First-timer,Irish,8/30/2024
Marketing Spend,Advertising,1040.25,,,,New Menu Launch,,,,First-timer,Irish,4/22/2024
Tech Fee,Tech Services,489.42,,,,,CRM Platform,,,Regular,Wine,9/26/2024
Fixed Cost,Insurance,4654.79,,,,,,,,Tourist,Wine,03-02-2025
Variable Cost,Marketing Campaign,2770.45,,,,,,,,First-timer,Wine,01-01-2025
Variable Cost,Inventory Purchase,6623.13,,,,,,,,Regular,Wine,11/13/2024
Marketing Spend,Advertising,4770.0,,,,Summer Happy Hour,,,,Regular,Continental,4/25/2024
Employee Salary,Payroll,4997.84,Cleaner,Night,Contract,,,,,Regular,Snacks,06-01-2024
Fixed Cost,Insurance,2793.77,,,,,,,,Regular,Irish,7/24/2024
Employee Salary,Payroll,3667.86,Manager,Night,Contract,,,,,Seldom,Continental,12/16/2024
Tech Fee,Tech Services,446.07,,,,,CRM Platform,,,First-timer,Wine,06-04-2024
Employee Salary,Payroll,3553.4,Server,Evening,Contract,,,,,Tourist,Irish,2/21/2025
Projected vs Actual,Expense Monitoring,,,,,,,7498.95,7773.75,First-timer,Continental,9/30/2024
Variable Cost,Inventory Purchase,4717.11,,,,,,,,Regular,Continental,8/24/2024
Variable Cost,Inventory Purchase,7429.75,,,,,,,,Regular,Wine,04-11-2024
Employee Salary,Payroll,1381.0,Cleaner,Evening,Contract,,,,,Seldom,Snacks,8/23/2024
Projected vs Actual,Expense Monitoring,,,,,,,4155.31,4405.490000000001,Tourist,Snacks,8/28/2024
Employee Salary,Payroll,1201.29,Bartender,Night,Contract,,,,,First-timer,Snacks,5/29/2024
Projected vs Actual,Expense Monitoring,,,,,,,4290.15,4650.089999999999,Seldom,Continental,11-12-2024
Fixed Cost,Rent,3855.33,,,,,,,,Regular,Continental,2/24/2025
Employee Salary,Payroll,2489.23,Cleaner,Evening,Contract,,,,,First-timer,Snacks,3/14/2024
Marketing Spend,Advertising,3524.87,,,,New Menu Launch,,,,Regular,Irish,10-06-2024
Fixed Cost,Rent,4939.56,,,,,,,,Regular,Irish,1/29/2025
Tech Fee,Tech Services,113.98,,,,,CRM Platform,,,First-timer,Snacks,5/29/2024
Fixed Cost,Insurance,1757.03,,,,,,,,Seldom,Continental,8/17/2024
Fixed Cost,Insurance,1217.93,,,,,,,,Seldom,Snacks,7/15/2024
Projected vs Actual,Expense Monitoring,,,,,,,4452.56,4575.75,Tourist,Wine,07-08-2024
Marketing Spend,Advertising,1544.29,,,,New Menu Launch,,,,Seldom,Continental,5/27/2024
Variable Cost,Inventory Purchase,5975.61,,,,,,,,Tourist,Continental,12/19/2024
Fixed Cost,Insurance,995.64,,,,,,,,Regular,Continental,08-12-2024
Projected vs Actual,Expense Monitoring,,,,,,,664.86,1270.25,Regular,Irish,4/15/2024
Projected vs Actual,Expense Monitoring,,,,,,,3200.75,2380.39,Seldom,Irish,8/26/2024
Employee Salary,Payroll,4130.98,Server,Morning,Part-time,,,,,Regular,Wine,05-06-2024
Employee Salary,Payroll,4820.25,Chef,Evening,Full-time,,,,,Tourist,Continental,9/22/2024
Marketing Spend,Advertising,2937.18,,,,Christmas Special,,,,Regular,Irish,06-05-2024
Variable Cost,Inventory Purchase,6537.53,,,,,,,,Tourist,Wine,1/15/2025
Employee Salary,Payroll,2034.23,Manager,Morning,Part-time,,,,,Regular,Irish,08-01-2024
Variable Cost,Marketing Campaign,4082.38,,,,,,,,First-timer,Snacks,3/25/2024
Variable Cost,Marketing Campaign,1320.85,,,,,,,,First-timer,Wine,8/28/2024
Marketing Spend,Advertising,6535.28,,,,Christmas Special,,,,Seldom,Irish,1/16/2025
Fixed Cost,Rent,1705.74,,,,,,,,Regular,Wine,01-10-2025
Variable Cost,Inventory Purchase,7827.67,,,,,,,,Regular,Wine,06-07-2024
Marketing Spend,Advertising,2693.71,,,,Christmas Special,,,,Tourist,Wine,12/18/2024
Marketing Spend,Advertising,4471.8,,,,Christmas Special,,,,Tourist,Continental,1/22/2025
Variable Cost,Marketing Campaign,9860.75,,,,,,,,Seldom,Irish,06-07-2024
Variable Cost,Marketing Campaign,3963.36,,,,,,,,Regular,Continental,08-03-2024
Projected vs Actual,Expense Monitoring,,,,,,,7335.06,7443.26,Tourist,Irish,5/22/2024
Variable Cost,Marketing Campaign,8447.13,,,,,,,,Regular,Wine,1/13/2025
Marketing Spend,Advertising,3052.47,,,,Christmas Special,,,,Tourist,Irish,09-12-2024
Tech Fee,Tech Services,92.68,,,,,CRM Platform,,,Seldom,Wine,10/25/2024
Variable Cost,Inventory Purchase,7431.04,,,,,,,,First-timer,Irish,02-03-2025
Employee Salary,Payroll,4189.68,Server,Morning,Full-time,,,,,Seldom,Snacks,12-06-2024
Marketing Spend,Advertising,785.72,,,,Summer Happy Hour,,,,Tourist,Irish,6/17/2024
Employee Salary,Payroll,2554.52,Bartender,Evening,Contract,,,,,Seldom,Continental,6/28/2024
Employee Salary,Payroll,4345.17,Manager,Morning,Contract,,,,,First-timer,Wine,8/16/2024
Fixed Cost,Utilities,2628.46,,,,,,,,First-timer,Snacks,2/19/2025
Projected vs Actual,Expense Monitoring,,,,,,,1674.6,2624.12,Regular,Wine,11/13/2024
Employee Salary,Payroll,1389.51,Server,Evening,Part-time,,,,,First-timer,Snacks,06-05-2024
Marketing Spend,Advertising,6597.98,,,,Spring Promo,,,,Seldom,Wine,10-04-2024
Variable Cost,Inventory Purchase,6677.8,,,,,,,,Regular,Snacks,05-12-2024
Tech Fee,Tech Services,425.99,,,,,CRM Platform,,,Tourist,Wine,12-09-2024
Marketing Spend,Advertising,5470.56,,,,Christmas Special,,,,Regular,Snacks,5/21/2024
Projected vs Actual,Expense Monitoring,,,,,,,3234.25,3921.61,Tourist,Wine,07-11-2024
Marketing Spend,Advertising,5822.7,,,,Christmas Special,,,,Tourist,Irish,9/25/2024
Employee Salary,Payroll,2535.79,Bartender,Morning,Contract,,,,,Tourist,Irish,8/16/2024
Projected vs Actual,Expense Monitoring,,,,,,,4766.1,5501.55,Tourist,Snacks,7/18/2024
Projected vs Actual,Expense Monitoring,,,,,,,4515.99,3686.28,Regular,Snacks,1/15/2025
Fixed Cost,Insurance,2252.46,,,,,,,,Tourist,Irish,11-12-2024
Tech Fee,Tech Services,440.64,,,,,Website Hosting,,,Regular,Irish,2/28/2025
Fixed Cost,Insurance,2075.84,,,,,,,,First-timer,Continental,1/17/2025
Projected vs Actual,Expense Monitoring,,,,,,,5934.18,5557.200000000001,Tourist,Snacks,11-06-2024
Employee Salary,Payroll,1654.47,Bartender,Night,Full-time,,,,,Regular,Wine,02-02-2025
Projected vs Actual,Expense Monitoring,,,,,,,4279.35,3306.38,First-timer,Wine,8/16/2024
Variable Cost,Marketing Campaign,6050.8,,,,,,,,Seldom,Continental,2/28/2025
Fixed Cost,Rent,2859.15,,,,,,,,Seldom,Snacks,10/24/2024
Marketing Spend,Advertising,2032.19,,,,Summer Happy Hour,,,,Tourist,Irish,3/23/2024
Fixed Cost,Rent,4700.36,,,,,,,,Regular,Wine,6/23/2024
Tech Fee,Tech Services,309.73,,,,,CRM Platform,,,Seldom,Irish,9/13/2024
Tech Fee,Tech Services,63.18,,,,,CRM Platform,,,Regular,Wine,9/26/2024
Employee Salary,Payroll,1306.89,Chef,Morning,Full-time,,,,,Seldom,Snacks,4/19/2024
Projected vs Actual,Expense Monitoring,,,,,,,3817.52,4154.86,First-timer,Continental,10-06-2024
Fixed Cost,Insurance,3571.7,,,,,,,,First-timer,Continental,01-06-2025
Variable Cost,Inventory Purchase,2451.11,,,,,,,,Regular,Irish,10/15/2024
Fixed Cost,Insurance,2238.66,,,,,,,,Tourist,Continental,12-06-2024
Marketing Spend,Advertising,3066.28,,,,Christmas Special,,,,Regular,Snacks,4/14/2024
Projected vs Actual,Expense Monitoring,,,,,,,6085.63,5422.1,First-timer,Irish,04-04-2024
Projected vs Actual,Expense Monitoring,,,,,,,3955.34,3527.9,Seldom,Snacks,12-09-2024
Employee Salary,Payroll,4298.07,Cleaner,Night,Part-time,,,,,Seldom,Snacks,03-01-2025
Marketing Spend,Advertising,696.98,,,,New Menu Launch,,,,Tourist,Wine,12-06-2024
Projected vs Actual,Expense Monitoring,,,,,,,3605.99,4001.72,First-timer,Continental,10/22/2024
Variable Cost,Inventory Purchase,9993.43,,,,,,,,Tourist,Continental,08-11-2024
Marketing Spend,Advertising,455.19,,,,Christmas Special,,,,First-timer,Snacks,09-03-2024
Variable Cost,Marketing Campaign,9687.35,,,,,,,,First-timer,Wine,11-12-2024
Fixed Cost,Rent,4638.36,,,,,,,,First-timer,Continental,05-07-2024
Tech Fee,Tech Services,144.08,,,,,CRM Platform,,,First-timer,Wine,11/13/2024
Fixed Cost,Rent,2937.19,,,,,,,,First-timer,Snacks,2/26/2025
Tech Fee,Tech Services,311.97,,,,,Website Hosting,,,First-timer,Snacks,3/25/2024
Employee Salary,Payroll,2353.47,Chef,Evening,Full-time,,,,,Regular,Snacks,4/14/2024
Projected vs Actual,Expense Monitoring,,,,,,,2070.11,1148.9500000000005,Seldom,Snacks,3/24/2024
Tech Fee,Tech Services,422.42,,,,,CRM Platform,,,Seldom,Irish,9/13/2024
Variable Cost,Inventory Purchase,1151.83,,,,,,,,First-timer,Irish,2/20/2025
Tech Fee,Tech Services,360.58,,,,,Website Hosting,,,First-timer,Irish,1/27/2025
Employee Salary,Payroll,3931.51,Bartender,Night,Contract,,,,,Seldom,Continental,2/28/2025
Employee Salary,Payroll,4332.77,Cleaner,Night,Full-time,,,,,Regular,Irish,09-02-2024
Projected vs Actual,Expense Monitoring,,,,,,,1161.07,988.4,Tourist,Irish,07-02-2024
Employee Salary,Payroll,4962.57,Chef,Evening,Full-time,,,,,Regular,Irish,2/19/2025
Projected vs Actual,Expense Monitoring,,,,,,,4236.42,3895.48,Tourist,Snacks,4/22/2024
Marketing Spend,Advertising,3194.54,,,,Summer Happy Hour,,,,First-timer,Continental,01-12-2025
Employee Salary,Payroll,3641.34,Cleaner,Evening,Full-time,,,,,First-timer,Wine,6/29/2024
Projected vs Actual,Expense Monitoring,,,,,,,3603.0,3201.5,Regular,Continental,2/24/2025
Marketing Spend,Advertising,1616.29,,,,Summer Happy Hour,,,,Regular,Wine,3/27/2024
Marketing Spend,Advertising,1488.73,,,,New Menu Launch,,,,Regular,Snacks,09-11-2024
Fixed Cost,Insurance,2411.57,,,,,,,,First-timer,Continental,6/28/2024
Marketing Spend,Advertising,6424.83,,,,New Menu Launch,,,,Regular,Wine,8/23/2024
Variable Cost,Inventory Purchase,5100.64,,,,,,,,Seldom,Snacks,03-01-2025
Variable Cost,Marketing Campaign,4706.25,,,,,,,,First-timer,Wine,09-02-2024
Employee Salary,Payroll,1411.62,Server,Evening,Part-time,,,,,Regular,Snacks,3/28/2024
Tech Fee,Tech Services,224.26,,,,,Website Hosting,,,Seldom,Wine,10-07-2024
Fixed Cost,Utilities,3158.62,,,,,,,,Seldom,Snacks,6/23/2024
Projected vs Actual,Expense Monitoring,,,,,,,6010.71,5515.0,First-timer,Continental,07-04-2024
Fixed Cost,Rent,3985.94,,,,,,,,Regular,Snacks,1/15/2025
Employee Salary,Payroll,1458.97,Manager,Morning,Contract,,,,,Seldom,Irish,05-05-2024
Employee Salary,Payroll,3854.61,Cleaner,Evening,Part-time,,,,,First-timer,Snacks,5/29/2024
Employee Salary,Payroll,3381.11,Manager,Night,Part-time,,,,,First-timer,Snacks,03-12-2024
Variable Cost,Marketing Campaign,9691.27,,,,,,,,Regular,Snacks,06-01-2024
Fixed Cost,Insurance,1796.74,,,,,,,,Seldom,Wine,10/25/2024
Marketing Spend,Advertising,537.24,,,,Summer Happy Hour,,,,Regular,Snacks,04-04-2024
Variable Cost,Inventory Purchase,425.28,,,,,,,,First-timer,Irish,7/16/2024
Projected vs Actual,Expense Monitoring,,,,,,,5004.55,4129.51,First-timer,Snacks,03-11-2024
Tech Fee,Tech Services,153.68,,,,,CRM Platform,,,Regular,Irish,1/21/2025
Marketing Spend,Advertising,6876.9,,,,Summer Happy Hour,,,,Regular,Continental,04-07-2024
Marketing Spend,Advertising,6651.78,,,,Summer Happy Hour,,,,Seldom,Irish,04-12-2024
Variable Cost,Inventory Purchase,8133.51,,,,,,,,Regular,Wine,06-01-2024
Variable Cost,Inventory Purchase,5427.4,,,,,,,,First-timer,Wine,11/19/2024
Employee Salary,Payroll,3631.8,Bartender,Morning,Contract,,,,,Regular,Wine,05-11-2024
Variable Cost,Inventory Purchase,6510.45,,,,,,,,First-timer,Wine,4/19/2024
Employee Salary,Payroll,4698.63,Chef,Evening,Contract,,,,,First-timer,Wine,07-08-2024
Tech Fee,Tech Services,102.68,,,,,CRM Platform,,,Seldom,Snacks,5/31/2024
Projected vs Actual,Expense Monitoring,,,,,,,6122.11,6577.24,Regular,Continental,08-12-2024
Employee Salary,Payroll,2623.25,Server,Morning,Contract,,,,,Regular,Continental,10-10-2024
Projected vs Actual,Expense Monitoring,,,,,,,1342.89,879.9000000000001,First-timer,Irish,07-10-2024
Marketing Spend,Advertising,5889.76,,,,New Menu Launch,,,,First-timer,Snacks,10-12-2024
Fixed Cost,Rent,3217.07,,,,,,,,Seldom,Wine,5/29/2024
Variable Cost,Inventory Purchase,4167.08,,,,,,,,Seldom,Wine,10-08-2024
Fixed Cost,Rent,4847.1,,,,,,,,Seldom,Wine,2/17/2025
Tech Fee,Tech Services,217.33,,,,,Website Hosting,,,Seldom,Continental,08-06-2024
Fixed Cost,Insurance,1498.01,,,,,,,,Seldom,Wine,8/30/2024
Fixed Cost,Rent,1405.29,,,,,,,,Regular,Snacks,12-06-2024
Fixed Cost,Insurance,2635.04,,,,,,,,Regular,Snacks,3/28/2024
Employee Salary,Payroll,2147.07,Chef,Night,Contract,,,,,Regular,Continental,03-10-2025
Marketing Spend,Advertising,2099.55,,,,Spring Promo,,,,Regular,Continental,11/29/2024
Employee Salary,Payroll,1826.57,Server,Morning,Contract,,,,,First-timer,Snacks,3/14/2024
Fixed Cost,Utilities,4095.87,,,,,,,,Regular,Continental,08-03-2024
Tech Fee,Tech Services,333.75,,,,,Website Hosting,,,Regular,Irish,01-03-2025
Variable Cost,Inventory Purchase,9809.54,,,,,,,,First-timer,Snacks,04-12-2024
Employee Salary,Payroll,2886.8,Server,Night,Contract,,,,,Seldom,Wine,05-01-2024
Tech Fee,Tech Services,354.27,,,,,Website Hosting,,,Tourist,Irish,9/15/2024
Tech Fee,Tech Services,378.4,,,,,CRM Platform,,,Tourist,Continental,8/21/2024
Marketing Spend,Advertising,744.12,,,,Christmas Special,,,,Tourist,Snacks,3/21/2024
Tech Fee,Tech Services,299.58,,,,,CRM Platform,,,Seldom,Wine,5/25/2024
Projected vs Actual,Expense Monitoring,,,,,,,1366.29,1018.5,Seldom,Snacks,11/15/2024
Variable Cost,Inventory Purchase,9260.35,,,,,,,,First-timer,Snacks,5/31/2024
Employee Salary,Payroll,2839.77,Bartender,Morning,Contract,,,,,Seldom,Irish,12/17/2024
Employee Salary,Payroll,4219.87,Manager,Evening,Part-time,,,,,Seldom,Snacks,9/30/2024
Tech Fee,Tech Services,170.87,,,,,CRM Platform,,,First-timer,Snacks,09-02-2024
Fixed Cost,Rent,3633.63,,,,,,,,Seldom,Snacks,3/31/2024
Fixed Cost,Insurance,1583.07,,,,,,,,Tourist,Continental,8/21/2024
Variable Cost,Marketing Campaign,7527.69,,,,,,,,First-timer,Wine,7/29/2024
Fixed Cost,Rent,2676.71,,,,,,,,Tourist,Snacks,04-05-2024
Fixed Cost,Insurance,3924.53,,,,,,,,Seldom,Wine,04-03-2024
Projected vs Actual,Expense Monitoring,,,,,,,2639.09,2747.03,Regular,Wine,11/19/2024
Projected vs Actual,Expense Monitoring,,,,,,,6161.99,7072.34,Tourist,Irish,07-02-2024
Tech Fee,Tech Services,195.59,,,,,CRM Platform,,,Regular,Continental,01-03-2025
Fixed Cost,Utilities,3096.21,,,,,,,,Seldom,Wine,07-12-2024
Tech Fee,Tech Services,210.29,,,,,Website Hosting,,,Regular,Snacks,5/29/2024
Marketing Spend,Advertising,4008.79,,,,Spring Promo,,,,Regular,Irish,10-06-2024
Tech Fee,Tech Services,239.11,,,,,CRM Platform,,,First-timer,Wine,12/21/2024
Marketing Spend,Advertising,733.87,,,,Spring Promo,,,,Tourist,Irish,11-12-2024
Marketing Spend,Advertising,729.58,,,,Spring Promo,,,,First-timer,Snacks,03-12-2024
Projected vs Actual,Expense Monitoring,,,,,,,7400.29,6941.66,Tourist,Snacks,01-04-2025
Marketing Spend,Advertising,4068.67,,,,New Menu Launch,,,,Regular,Irish,2/28/2025
Fixed Cost,Insurance,4738.58,,,,,,,,First-timer,Irish,01-03-2025
Projected vs Actual,Expense Monitoring,,,,,,,1149.65,1487.96,Tourist,Irish,03-05-2025
Projected vs Actual,Expense Monitoring,,,,,,,3047.69,3485.73,Seldom,Irish,8/22/2024
Tech Fee,Tech Services,162.45,,,,,Website Hosting,,,Regular,Irish,1/16/2025
Fixed Cost,Utilities,1857.48,,,,,,,,Tourist,Snacks,9/16/2024
Employee Salary,Payroll,2089.26,Chef,Evening,Contract,,,,,Seldom,Wine,1/23/2025
