InventoryItem,Category,StockLevel,UsagePerDay,ExpiryInDays,SpoilageRate,Supplier,SupplierLocation,OrganicOrLocal,CostPerUnit,DeliveryTimeDays,OrderFrequencyDays,LeadTimeDays,CustomerOrderTrend,WasteUnits
Spicy Wedges,Food ,313,23,21,0.04,Connemara Supplies,Mayo,Yes,4.82,4,3,3,279,5
Heineken,Beverages,231,7,29,0.03,Emerald Foods Ltd,Cork,Yes,13.88,6,14,1,283,3
Boxty,Food ,119,1,22,0.04,Claddagh Provisions,Galway,Yes,7.2,3,7,1,186,2
Pinot Noir,Beverages,73,17,8,0.02,Claddagh Provisions,Galway,Yes,6.4,1,30,3,270,1
Potato Skins,Food ,266,10,9,0.1,Green Isle Distributors,Dublin,No,16.48,6,14,1,204,18
Bread Pudding,Dessert ,286,15,4,0.08,Claddagh Provisions,Galway,Yes,18.15,4,7,3,97,3
Irish Coffee,Beverages,431,8,27,0.14,Claddagh Provisions,Galway,Yes,9.29,2,7,3,74,0
Smithwick's,Beverages,105,10,14,0.07,Emerald Foods Ltd,Cork,Yes,11.69,2,3,2,36,0
Bread Pudding,Dessert ,246,13,18,0.14,Green Isle Distributors,Dublin,No,6.57,6,30,4,59,27
Garlic Parmesan Fries,Food ,397,2,23,0.05,Claddagh Provisions,Galway,Yes,3.35,1,7,7,130,12
Pinot Noir,Beverages,134,1,28,0.1,Emerald Foods Ltd,Cork,Yes,8.88,2,3,3,64,2
Irish Stew,Food ,381,20,10,0.1,Shannon Valley Produce,Limerick,No,18.36,1,3,8,173,10
Heineken,Beverages,274,24,18,0.05,Green Isle Distributors,Dublin,No,9.23,3,30,5,67,11
Kilkenny,Beverages,376,13,26,0.11,Connemara Supplies,Mayo,Yes,18.53,6,3,1,137,21
Garlic Parmesan Fries,Food ,491,20,3,0.12,Green Isle Distributors,Dublin,No,1.21,1,7,2,106,29
Smithwick's,Beverages,64,18,9,0.13,Shannon Valley Produce,Limerick,No,12.64,3,7,9,284,5
Truffle Mushroom Pizza,Food ,472,15,21,0.02,Green Isle Distributors,Dublin,No,11.0,6,30,9,115,3
Truffle Fries,Food ,343,19,11,0.12,Claddagh Provisions,Galway,Yes,9.18,5,7,2,191,20
Rioja,Beverages,116,16,23,0.01,Claddagh Provisions,Galway,Yes,7.72,3,3,7,17,0
Sweet Potato Fries,Food ,237,6,21,0.05,Green Isle Distributors,Dublin,No,7.66,1,7,9,11,1
Margherita Pizza,Food ,413,3,11,0.03,Emerald Foods Ltd,Cork,Yes,12.14,1,30,9,38,7
Kilkenny,Beverages,314,21,16,0.1,Claddagh Provisions,Galway,Yes,8.52,6,3,8,278,31
Sweet Potato Fries,Food ,271,11,20,0.07,Shannon Valley Produce,Limerick,No,1.73,6,14,9,48,2
Boxty,Food ,384,3,7,0.06,Green Isle Distributors,Dublin,No,4.87,6,7,6,175,22
Corned Beef,Food ,346,15,23,0.05,Emerald Foods Ltd,Cork,Yes,3.12,3,30,7,99,10
BBQ Chicken Pizza,Food ,370,23,25,0.11,Connemara Supplies,Mayo,Yes,3.92,6,3,9,116,9
Sticky Toffee Pudding,Dessert ,47,23,19,0.02,Claddagh Provisions,Galway,Yes,7.47,5,3,4,123,0
Sweet Potato Fries,Food ,353,18,21,0.05,Emerald Foods Ltd,Cork,Yes,6.42,3,7,3,282,0
Corned Beef,Food ,390,14,19,0.03,Connemara Supplies,Mayo,Yes,19.21,5,30,9,126,3
Garlic Parmesan Fries,Food ,188,7,21,0.09,Green Isle Distributors,Dublin,No,15.61,6,30,6,276,4
Heineken,Beverages,243,12,13,0.04,Claddagh Provisions,Galway,Yes,5.65,6,7,5,287,2
Sauvignon Blanc,Beverages,156,21,16,0.1,Shannon Valley Produce,Limerick,No,18.88,6,3,2,110,6
Pinot Noir,Beverages,438,6,10,0.03,Shannon Valley Produce,Limerick,No,12.03,1,14,4,13,6
Irish Stew,Food ,67,19,12,0.07,Connemara Supplies,Mayo,Yes,6.64,4,3,3,249,0
Bread Pudding,Dessert ,40,13,7,0.05,Connemara Supplies,Mayo,Yes,17.93,4,3,9,259,0
Smithwick's,Beverages,376,19,14,0.13,Emerald Foods Ltd,Cork,Yes,3.83,3,3,9,132,44
Shepherd's Pie,Food ,135,19,10,0.06,Shannon Valley Produce,Limerick,No,4.75,2,7,1,299,0
Potato Skins,Food ,338,12,21,0.12,Connemara Supplies,Mayo,Yes,3.98,5,30,3,179,21
Sweet Potato Fries,Food ,420,10,12,0.15,Claddagh Provisions,Galway,Yes,16.59,3,3,1,276,28
Shepherd's Pie,Food ,349,1,8,0.11,Connemara Supplies,Mayo,Yes,5.53,4,3,6,112,5
Smithwick's,Beverages,379,23,18,0.1,Green Isle Distributors,Dublin,No,7.1,5,3,8,76,33
Truffle Fries,Food ,290,16,20,0.02,Claddagh Provisions,Galway,Yes,2.02,3,30,8,261,4
Pepperoni Pizza,Food ,156,23,17,0.11,Green Isle Distributors,Dublin,No,7.13,5,30,7,125,14
Onion Rings,Food ,289,14,25,0.04,Claddagh Provisions,Galway,Yes,8.76,5,3,4,261,4
Boxty,Food ,58,12,25,0.02,Green Isle Distributors,Dublin,No,19.51,1,14,1,105,1
Pinot Noir,Beverages,201,16,8,0.14,Connemara Supplies,Mayo,Yes,7.12,4,14,4,99,13
Bread Pudding,Dessert ,495,1,5,0.08,Connemara Supplies,Mayo,Yes,14.57,4,14,8,218,21
Chardonnay,Beverages,173,6,13,0.14,Shannon Valley Produce,Limerick,No,17.51,4,30,3,217,8
Truffle Fries,Food ,315,6,4,0.09,Connemara Supplies,Mayo,Yes,19.79,3,7,3,81,25
Irish Coffee,Beverages,469,24,29,0.07,Green Isle Distributors,Dublin,No,2.22,1,3,2,241,8
Garlic Parmesan Fries,Food ,444,16,26,0.11,Green Isle Distributors,Dublin,No,13.85,2,7,6,180,0
Truffle Fries,Food ,108,11,5,0.08,Claddagh Provisions,Galway,Yes,4.53,2,3,6,14,5
Sweet Potato Fries,Food ,68,3,25,0.05,Connemara Supplies,Mayo,Yes,14.89,6,14,9,125,2
Kilkenny,Beverages,188,21,11,0.1,Emerald Foods Ltd,Cork,Yes,1.98,6,3,6,202,5
Margherita Pizza,Food ,67,9,4,0.08,Connemara Supplies,Mayo,Yes,3.75,3,14,9,150,3
Irish Stew,Food ,428,13,9,0.12,Emerald Foods Ltd,Cork,Yes,11.0,4,3,6,131,17
Sticky Toffee Pudding,Dessert ,36,9,28,0.09,Shannon Valley Produce,Limerick,No,2.52,1,3,3,134,2
Baileys Cheesecake,Dessert ,130,18,25,0.03,Claddagh Provisions,Galway,Yes,19.49,6,3,1,198,1
Baileys Cheesecake,Dessert ,364,10,3,0.09,Shannon Valley Produce,Limerick,No,15.23,2,30,1,180,10
Chardonnay,Beverages,137,10,17,0.1,Connemara Supplies,Mayo,Yes,18.57,4,14,7,58,2
Margherita Pizza,Food ,429,24,6,0.06,Emerald Foods Ltd,Cork,Yes,16.87,4,30,7,52,8
Guinness,Beverages,71,24,7,0.11,Connemara Supplies,Mayo,Yes,2.94,5,30,7,213,3
Rioja,Beverages,333,1,13,0.08,Claddagh Provisions,Galway,Yes,5.18,4,3,2,23,2
Smithwick's,Beverages,198,18,5,0.06,Claddagh Provisions,Galway,Yes,2.85,3,14,5,97,3
Shepherd's Pie,Food ,127,15,22,0.13,Green Isle Distributors,Dublin,No,1.75,6,3,5,236,0
Sauvignon Blanc,Beverages,255,21,24,0.09,Connemara Supplies,Mayo,Yes,12.23,5,7,5,289,1
Baileys Cheesecake,Dessert ,186,6,5,0.09,Connemara Supplies,Mayo,Yes,11.45,5,3,7,53,4
Sauvignon Blanc,Beverages,490,10,23,0.11,Claddagh Provisions,Galway,Yes,18.86,6,7,6,46,43
Baileys Cheesecake,Dessert ,341,18,11,0.09,Claddagh Provisions,Galway,Yes,8.59,5,3,8,193,14
Potato Skins,Food ,235,2,22,0.11,Emerald Foods Ltd,Cork,Yes,11.99,1,3,6,217,8
BBQ Chicken Pizza,Food ,249,3,26,0.14,Claddagh Provisions,Galway,Yes,2.67,5,7,5,83,7
Kilkenny,Beverages,450,22,6,0.11,Shannon Valley Produce,Limerick,No,12.06,5,14,4,76,32
Irish Coffee,Beverages,207,16,19,0.04,Shannon Valley Produce,Limerick,No,1.64,3,7,4,234,6
Bread Pudding,Dessert ,332,5,23,0.11,Shannon Valley Produce,Limerick,No,3.99,6,30,2,178,14
Chardonnay,Beverages,368,10,19,0.01,Green Isle Distributors,Dublin,No,8.05,3,30,7,244,2
Heineken,Beverages,317,2,23,0.03,Claddagh Provisions,Galway,Yes,11.96,6,30,1,58,2
Craft Beer,Beverages,33,17,4,0.11,Green Isle Distributors,Dublin,No,8.92,3,30,7,232,1
Irish Coffee,Beverages,435,16,16,0.06,Green Isle Distributors,Dublin,No,18.54,4,3,4,239,8
Sauvignon Blanc,Beverages,459,13,9,0.05,Connemara Supplies,Mayo,Yes,12.37,2,7,6,145,8
Whiskey,Beverages,329,3,22,0.11,Connemara Supplies,Mayo,Yes,15.53,4,3,6,126,21
Corned Beef,Food ,174,7,3,0.03,Connemara Supplies,Mayo,Yes,8.25,2,14,8,30,5
Sticky Toffee Pudding,Dessert ,208,12,18,0.09,Shannon Valley Produce,Limerick,No,1.52,2,14,9,103,18
Irish Nachos,Food ,224,16,7,0.13,Shannon Valley Produce,Limerick,No,15.29,3,3,6,142,2
Onion Rings,Food ,257,21,13,0.06,Green Isle Distributors,Dublin,No,5.49,6,3,5,51,3
Truffle Mushroom Pizza,Food ,459,5,24,0.15,Claddagh Provisions,Galway,Yes,8.44,2,14,5,231,10
Truffle Mushroom Pizza,Food ,279,24,11,0.04,Green Isle Distributors,Dublin,No,1.74,3,3,5,243,5
Pinot Noir,Beverages,88,22,26,0.06,Shannon Valley Produce,Limerick,No,11.84,4,3,1,34,3
Shepherd's Pie,Food ,231,17,20,0.09,Shannon Valley Produce,Limerick,No,10.06,5,7,8,11,9
Corned Beef,Food ,72,4,14,0.11,Shannon Valley Produce,Limerick,No,16.3,6,14,4,72,2
Pepperoni Pizza,Food ,343,16,8,0.02,Green Isle Distributors,Dublin,No,13.88,1,7,5,55,4
Kilkenny,Beverages,306,5,13,0.03,Shannon Valley Produce,Limerick,No,2.42,1,3,7,54,2
Craft Beer,Beverages,147,23,19,0.04,Connemara Supplies,Mayo,Yes,17.05,5,7,8,174,3
Truffle Mushroom Pizza,Food ,110,11,15,0.03,Shannon Valley Produce,Limerick,No,9.93,2,14,6,37,3
Kilkenny,Beverages,141,7,14,0.07,Shannon Valley Produce,Limerick,No,10.96,4,14,2,65,2
Sticky Toffee Pudding,Dessert ,238,7,12,0.02,Emerald Foods Ltd,Cork,Yes,1.06,6,30,7,12,2
Sticky Toffee Pudding,Dessert ,372,23,16,0.06,Shannon Valley Produce,Limerick,No,11.93,5,7,9,184,6
Pinot Noir,Beverages,157,19,9,0.11,Claddagh Provisions,Galway,Yes,12.62,3,14,8,226,3
Boxty,Food ,266,6,23,0.13,Emerald Foods Ltd,Cork,Yes,8.83,4,30,4,40,17
Sweet Potato Fries,Food ,473,23,24,0.02,Green Isle Distributors,Dublin,No,13.73,6,30,2,148,5
BBQ Chicken Pizza,Food ,104,8,9,0.07,Emerald Foods Ltd,Cork,Yes,16.15,2,7,6,25,4
Irish Stew,Food ,186,20,26,0.09,Emerald Foods Ltd,Cork,Yes,3.05,4,30,2,71,14
Boxty,Food ,229,22,12,0.08,Emerald Foods Ltd,Cork,Yes,18.4,4,14,4,51,3
Smithwick's,Beverages,484,9,10,0.06,Claddagh Provisions,Galway,Yes,1.89,4,14,6,219,25
Guinness,Beverages,309,16,4,0.02,Shannon Valley Produce,Limerick,No,10.68,1,30,6,105,3
Irish Stew,Food ,152,23,8,0.11,Shannon Valley Produce,Limerick,No,11.91,5,7,4,59,16
Irish Nachos,Food ,75,16,7,0.06,Green Isle Distributors,Dublin,No,14.95,2,14,2,87,4
Chardonnay,Beverages,437,1,4,0.11,Emerald Foods Ltd,Cork,Yes,16.53,5,3,2,247,0
Boxty,Food ,320,15,13,0.13,Green Isle Distributors,Dublin,No,2.06,2,7,4,109,30
Irish Stew,Food ,358,15,17,0.09,Green Isle Distributors,Dublin,No,15.59,2,14,7,293,20
Sticky Toffee Pudding,Dessert ,242,14,15,0.09,Claddagh Provisions,Galway,Yes,17.75,6,30,6,207,0
Spicy Wedges,Food ,448,14,16,0.13,Green Isle Distributors,Dublin,No,13.11,3,30,1,91,16
Pinot Noir,Beverages,63,14,14,0.05,Connemara Supplies,Mayo,Yes,11.52,5,14,1,182,2
Irish Coffee,Beverages,313,16,28,0.12,Green Isle Distributors,Dublin,No,2.83,6,3,4,160,20
Kilkenny,Beverages,141,24,12,0.14,Shannon Valley Produce,Limerick,No,2.42,3,3,5,91,14
Sauvignon Blanc,Beverages,248,24,28,0.1,Green Isle Distributors,Dublin,No,11.6,1,14,1,287,3
Truffle Fries,Food ,280,22,19,0.11,Shannon Valley Produce,Limerick,No,5.79,2,7,9,273,25
Rioja,Beverages,141,1,3,0.07,Green Isle Distributors,Dublin,No,17.28,5,14,2,163,2
Potato Skins,Food ,489,10,12,0.09,Shannon Valley Produce,Limerick,No,2.64,4,7,8,168,27
Whiskey,Beverages,291,16,11,0.09,Connemara Supplies,Mayo,Yes,17.72,2,30,5,54,22
Corned Beef,Food ,139,18,3,0.12,Green Isle Distributors,Dublin,No,12.46,4,14,8,120,11
Boxty,Food ,407,14,19,0.06,Shannon Valley Produce,Limerick,No,7.05,4,3,1,202,4
Spicy Wedges,Food ,353,13,24,0.09,Connemara Supplies,Mayo,Yes,19.87,3,30,5,117,25
Chardonnay,Beverages,212,14,24,0.15,Shannon Valley Produce,Limerick,No,13.36,2,3,5,100,28
Corned Beef,Food ,369,21,25,0.09,Green Isle Distributors,Dublin,No,13.02,3,30,6,178,9
Sticky Toffee Pudding,Dessert ,243,13,19,0.14,Green Isle Distributors,Dublin,No,6.02,4,14,1,36,19
Pepperoni Pizza,Food ,289,21,16,0.03,Emerald Foods Ltd,Cork,Yes,4.17,4,7,6,181,8
Sticky Toffee Pudding,Dessert ,97,8,24,0.02,Emerald Foods Ltd,Cork,Yes,17.64,3,3,8,155,1
Boxty,Food ,476,22,8,0.07,Connemara Supplies,Mayo,Yes,5.08,6,3,8,261,7
BBQ Chicken Pizza,Food ,74,17,18,0.05,Claddagh Provisions,Galway,Yes,15.8,1,3,1,257,3
Craft Beer,Beverages,195,1,3,0.07,Emerald Foods Ltd,Cork,Yes,6.17,2,14,5,149,8
Rioja,Beverages,144,9,20,0.01,Claddagh Provisions,Galway,Yes,8.34,3,14,4,247,1
Rioja,Beverages,152,10,4,0.06,Emerald Foods Ltd,Cork,Yes,9.87,1,30,3,140,6
Smithwick's,Beverages,401,4,11,0.14,Shannon Valley Produce,Limerick,No,19.77,3,7,9,49,4
Boxty,Food ,165,7,6,0.04,Claddagh Provisions,Galway,Yes,3.16,1,14,6,146,6
Craft Beer,Beverages,436,15,25,0.07,Green Isle Distributors,Dublin,No,3.15,3,7,5,109,2
Garlic Parmesan Fries,Food ,488,16,29,0.13,Green Isle Distributors,Dublin,No,7.47,6,30,4,142,5
Spicy Wedges,Food ,126,8,6,0.15,Emerald Foods Ltd,Cork,Yes,6.96,1,14,3,288,10
Potato Skins,Food ,260,14,29,0.08,Claddagh Provisions,Galway,Yes,11.33,6,14,6,46,1
Pepperoni Pizza,Food ,350,4,14,0.06,Emerald Foods Ltd,Cork,Yes,4.58,1,3,5,131,4
Smithwick's,Beverages,469,22,20,0.13,Emerald Foods Ltd,Cork,Yes,15.44,4,7,4,139,36
Truffle Mushroom Pizza,Food ,320,3,25,0.02,Emerald Foods Ltd,Cork,Yes,16.76,4,30,8,148,1
Potato Skins,Food ,424,17,3,0.15,Shannon Valley Produce,Limerick,No,18.17,3,30,7,26,38
Boxty,Food ,235,13,7,0.14,Green Isle Distributors,Dublin,No,3.85,3,3,4,223,28
Irish Coffee,Beverages,116,23,18,0.12,Claddagh Provisions,Galway,Yes,13.18,3,7,7,106,7
Sweet Potato Fries,Food ,115,5,10,0.01,Shannon Valley Produce,Limerick,No,12.94,3,7,3,259,0
Irish Nachos,Food ,54,24,20,0.11,Connemara Supplies,Mayo,Yes,13.99,5,30,8,21,4
Sticky Toffee Pudding,Dessert ,47,21,20,0.11,Connemara Supplies,Mayo,Yes,16.77,6,7,3,127,3
Margherita Pizza,Food ,320,4,5,0.12,Claddagh Provisions,Galway,Yes,8.58,1,30,3,143,33
Heineken,Beverages,162,7,14,0.11,Claddagh Provisions,Galway,Yes,10.15,4,30,1,255,11
Onion Rings,Food ,305,9,17,0.11,Claddagh Provisions,Galway,Yes,17.3,5,30,2,195,21
Irish Nachos,Food ,174,18,13,0.02,Green Isle Distributors,Dublin,No,16.78,5,3,9,69,2
Pinot Noir,Beverages,18,17,10,0.04,Emerald Foods Ltd,Cork,Yes,8.98,4,14,1,153,0
Shepherd's Pie,Food ,401,18,9,0.02,Claddagh Provisions,Galway,Yes,19.95,5,3,4,147,2
Truffle Fries,Food ,441,2,24,0.02,Claddagh Provisions,Galway,Yes,10.3,3,14,2,145,3
Boxty,Food ,439,2,24,0.14,Shannon Valley Produce,Limerick,No,8.31,1,7,6,176,15
Sauvignon Blanc,Beverages,217,2,27,0.04,Green Isle Distributors,Dublin,No,9.82,4,14,6,76,0
Rioja,Beverages,321,16,7,0.05,Claddagh Provisions,Galway,Yes,2.2,5,30,1,171,13
Craft Beer,Beverages,206,22,17,0.07,Green Isle Distributors,Dublin,No,3.09,1,30,8,264,1
Smithwick's,Beverages,483,21,11,0.05,Shannon Valley Produce,Limerick,No,6.13,1,7,6,130,18
Guinness,Beverages,265,11,14,0.11,Emerald Foods Ltd,Cork,Yes,18.06,3,14,8,105,4
BBQ Chicken Pizza,Food ,85,8,12,0.07,Emerald Foods Ltd,Cork,Yes,11.24,3,3,4,75,2
Whiskey,Beverages,144,17,22,0.11,Connemara Supplies,Mayo,Yes,4.94,3,7,4,76,4
Irish Nachos,Food ,153,14,19,0.13,Green Isle Distributors,Dublin,No,16.35,6,3,4,243,19
Shepherd's Pie,Food ,171,11,20,0.08,Claddagh Provisions,Galway,Yes,13.28,3,3,9,278,11
Chardonnay,Beverages,276,8,16,0.12,Shannon Valley Produce,Limerick,No,8.83,1,30,3,296,16
Irish Coffee,Beverages,308,24,19,0.08,Green Isle Distributors,Dublin,No,3.28,5,30,9,149,17
Pepperoni Pizza,Food ,296,4,27,0.13,Green Isle Distributors,Dublin,No,8.89,6,3,5,155,18
Sticky Toffee Pudding,Dessert ,308,7,16,0.01,Shannon Valley Produce,Limerick,No,12.19,5,14,6,81,0
Whiskey,Beverages,443,7,8,0.01,Connemara Supplies,Mayo,Yes,12.93,4,7,8,297,2
Irish Nachos,Food ,370,15,10,0.07,Emerald Foods Ltd,Cork,Yes,17.69,4,7,7,71,0
Spicy Wedges,Food ,165,10,28,0.04,Claddagh Provisions,Galway,Yes,14.58,2,3,5,290,6
Sticky Toffee Pudding,Dessert ,426,1,7,0.02,Green Isle Distributors,Dublin,No,14.57,3,7,9,258,8
Margherita Pizza,Food ,281,16,29,0.02,Connemara Supplies,Mayo,Yes,16.57,3,14,3,154,5
Craft Beer,Beverages,447,4,14,0.05,Claddagh Provisions,Galway,Yes,4.85,5,30,6,158,20
Boxty,Food ,450,1,5,0.13,Emerald Foods Ltd,Cork,Yes,7.66,2,30,7,64,29
Bread Pudding,Dessert ,234,18,7,0.11,Emerald Foods Ltd,Cork,Yes,6.8,6,3,5,71,6
Sweet Potato Fries,Food ,400,24,15,0.15,Connemara Supplies,Mayo,Yes,4.67,3,30,2,206,11
Chardonnay,Beverages,499,4,6,0.06,Connemara Supplies,Mayo,Yes,6.2,5,7,1,232,28
Smithwick's,Beverages,24,15,21,0.14,Connemara Supplies,Mayo,Yes,11.81,5,3,7,140,2
Potato Skins,Food ,427,9,15,0.02,Emerald Foods Ltd,Cork,Yes,14.22,3,3,7,291,4
Craft Beer,Beverages,489,21,6,0.11,Claddagh Provisions,Galway,Yes,5.19,2,30,8,164,50
Margherita Pizza,Food ,479,24,9,0.04,Shannon Valley Produce,Limerick,No,16.08,2,3,9,61,6
Heineken,Beverages,185,15,16,0.13,Emerald Foods Ltd,Cork,Yes,11.93,3,3,2,215,19
Kilkenny,Beverages,310,20,12,0.13,Emerald Foods Ltd,Cork,Yes,3.62,5,14,3,39,9
Whiskey,Beverages,207,18,18,0.11,Connemara Supplies,Mayo,Yes,1.66,6,30,3,223,14
Sweet Potato Fries,Food ,311,17,13,0.14,Connemara Supplies,Mayo,Yes,13.79,4,3,2,253,37
Shepherd's Pie,Food ,333,15,3,0.15,Claddagh Provisions,Galway,Yes,12.67,4,7,3,285,46
Pepperoni Pizza,Food ,456,10,20,0.03,Claddagh Provisions,Galway,Yes,10.02,5,7,1,129,7
Truffle Fries,Food ,363,20,26,0.03,Shannon Valley Produce,Limerick,No,5.48,2,30,8,234,8
Shepherd's Pie,Food ,115,14,24,0.02,Connemara Supplies,Mayo,Yes,6.83,4,7,4,271,0
Margherita Pizza,Food ,53,12,12,0.05,Shannon Valley Produce,Limerick,No,6.46,4,3,2,170,0
Potato Skins,Food ,88,3,13,0.02,Connemara Supplies,Mayo,Yes,11.74,3,3,2,45,0
Spicy Wedges,Food ,468,8,15,0.05,Connemara Supplies,Mayo,Yes,14.67,1,30,5,108,9
Truffle Mushroom Pizza,Food ,402,8,25,0.03,Connemara Supplies,Mayo,Yes,4.07,1,3,2,28,6
Rioja,Beverages,319,20,29,0.1,Claddagh Provisions,Galway,Yes,2.98,4,7,4,179,18
Onion Rings,Food ,60,6,14,0.08,Connemara Supplies,Mayo,Yes,1.12,5,14,5,108,0
Shepherd's Pie,Food ,22,1,13,0.08,Shannon Valley Produce,Limerick,No,19.87,1,30,9,243,1
Smithwick's,Beverages,457,5,28,0.08,Green Isle Distributors,Dublin,No,11.81,2,7,2,159,4
Rioja,Beverages,364,3,28,0.12,Claddagh Provisions,Galway,Yes,8.71,1,30,2,69,20
Boxty,Food ,283,14,19,0.1,Shannon Valley Produce,Limerick,No,10.78,2,14,5,183,9
Boxty,Food ,459,5,5,0.02,Emerald Foods Ltd,Cork,Yes,4.94,6,30,8,281,1
Corned Beef,Food ,26,19,20,0.15,Claddagh Provisions,Galway,Yes,5.04,3,30,4,137,0
Spicy Wedges,Food ,80,4,25,0.04,Connemara Supplies,Mayo,Yes,3.56,5,30,4,56,0
Pinot Noir,Beverages,34,19,10,0.13,Claddagh Provisions,Galway,Yes,9.34,2,30,9,65,2
Irish Coffee,Beverages,338,1,26,0.14,Shannon Valley Produce,Limerick,No,16.43,4,30,4,283,30
Irish Coffee,Beverages,486,22,25,0.12,Shannon Valley Produce,Limerick,No,12.1,3,14,5,271,0
Shepherd's Pie,Food ,320,3,6,0.11,Green Isle Distributors,Dublin,No,7.78,3,3,6,109,11
Guinness,Beverages,429,23,22,0.1,Claddagh Provisions,Galway,Yes,12.12,4,14,2,148,31
Sticky Toffee Pudding,Dessert ,206,14,3,0.11,Connemara Supplies,Mayo,Yes,6.84,6,3,4,232,18
Smithwick's,Beverages,197,6,17,0.08,Green Isle Distributors,Dublin,No,5.15,2,3,2,146,0
Truffle Fries,Food ,353,15,25,0.12,Connemara Supplies,Mayo,Yes,14.69,3,14,4,56,31
Corned Beef,Food ,12,24,15,0.15,Green Isle Distributors,Dublin,No,17.68,4,3,5,202,1
Bread Pudding,Dessert ,83,23,14,0.08,Shannon Valley Produce,Limerick,No,5.32,4,14,3,189,2
Craft Beer,Beverages,189,17,26,0.1,Green Isle Distributors,Dublin,No,8.0,3,3,5,215,7
Smithwick's,Beverages,197,13,18,0.08,Emerald Foods Ltd,Cork,Yes,19.59,2,30,7,141,10
Pepperoni Pizza,Food ,340,3,5,0.12,Green Isle Distributors,Dublin,No,7.59,6,14,1,198,36
Truffle Mushroom Pizza,Food ,131,9,13,0.11,Emerald Foods Ltd,Cork,Yes,13.53,1,30,6,56,13
Margherita Pizza,Food ,382,15,15,0.07,Green Isle Distributors,Dublin,No,15.72,3,7,9,141,2
BBQ Chicken Pizza,Food ,153,17,4,0.14,Connemara Supplies,Mayo,Yes,15.52,3,3,5,35,0
BBQ Chicken Pizza,Food ,145,19,9,0.11,Emerald Foods Ltd,Cork,Yes,18.0,1,7,9,271,14
Boxty,Food ,17,4,26,0.04,Emerald Foods Ltd,Cork,Yes,12.3,6,7,6,201,0
Sticky Toffee Pudding,Dessert ,319,5,26,0.11,Emerald Foods Ltd,Cork,Yes,4.86,1,3,7,155,18
Irish Stew,Food ,342,14,26,0.1,Connemara Supplies,Mayo,Yes,3.06,3,3,4,99,4
Irish Nachos,Food ,470,5,5,0.06,Claddagh Provisions,Galway,Yes,4.9,1,3,7,18,26
Baileys Cheesecake,Dessert ,219,7,27,0.12,Claddagh Provisions,Galway,Yes,6.45,1,7,4,28,2
Heineken,Beverages,468,14,5,0.05,Emerald Foods Ltd,Cork,Yes,9.08,4,3,8,169,5
Craft Beer,Beverages,103,10,5,0.04,Claddagh Provisions,Galway,Yes,18.18,6,30,5,254,0
Sweet Potato Fries,Food ,271,13,10,0.13,Shannon Valley Produce,Limerick,No,2.1,2,7,6,34,19
Rioja,Beverages,322,18,24,0.02,Emerald Foods Ltd,Cork,Yes,10.31,5,3,8,97,0
Shepherd's Pie,Food ,309,12,20,0.09,Green Isle Distributors,Dublin,No,10.1,3,14,1,81,0
Truffle Fries,Food ,85,21,10,0.12,Green Isle Distributors,Dublin,No,5.34,6,14,3,246,8
Irish Coffee,Beverages,177,18,5,0.11,Claddagh Provisions,Galway,Yes,10.04,4,3,6,143,10
Margherita Pizza,Food ,259,14,21,0.1,Shannon Valley Produce,Limerick,No,17.65,5,14,5,52,13
Spicy Wedges,Food ,72,21,5,0.13,Green Isle Distributors,Dublin,No,1.32,3,14,2,258,8
Craft Beer,Beverages,279,22,18,0.07,Connemara Supplies,Mayo,Yes,17.68,3,14,4,247,5
Pinot Noir,Beverages,309,12,5,0.11,Claddagh Provisions,Galway,Yes,9.31,4,30,4,19,1
Truffle Fries,Food ,244,5,23,0.07,Claddagh Provisions,Galway,Yes,10.76,5,14,9,23,14
Kilkenny,Beverages,85,1,25,0.04,Shannon Valley Produce,Limerick,No,4.07,6,7,4,271,2
Potato Skins,Food ,463,9,26,0.05,Claddagh Provisions,Galway,Yes,10.59,3,30,2,247,6
Chardonnay,Beverages,387,17,28,0.13,Shannon Valley Produce,Limerick,No,1.75,1,3,8,27,35
Guinness,Beverages,73,19,28,0.04,Connemara Supplies,Mayo,Yes,12.75,6,7,9,256,1
Margherita Pizza,Food ,226,21,8,0.01,Shannon Valley Produce,Limerick,No,17.62,5,30,6,212,0
BBQ Chicken Pizza,Food ,98,11,28,0.14,Green Isle Distributors,Dublin,No,12.71,5,3,8,204,6
Onion Rings,Food ,376,17,29,0.09,Claddagh Provisions,Galway,Yes,19.19,5,30,4,36,30
Chardonnay,Beverages,455,20,8,0.11,Shannon Valley Produce,Limerick,No,17.43,1,14,9,135,17
Sticky Toffee Pudding,Dessert ,32,19,12,0.01,Claddagh Provisions,Galway,Yes,11.87,5,3,1,80,0
Sauvignon Blanc,Beverages,98,14,8,0.13,Emerald Foods Ltd,Cork,Yes,13.47,3,30,9,251,2
Bread Pudding,Dessert ,68,18,9,0.02,Connemara Supplies,Mayo,Yes,13.0,5,3,3,45,0
Heineken,Beverages,447,12,29,0.11,Connemara Supplies,Mayo,Yes,18.53,6,7,7,110,22
Margherita Pizza,Food ,184,2,29,0.08,Claddagh Provisions,Galway,Yes,3.44,2,14,7,50,10
Baileys Cheesecake,Dessert ,258,11,22,0.13,Emerald Foods Ltd,Cork,Yes,13.36,6,3,2,230,1
